colour,ctype,effect,flavour,id,instants,memory,prompt,set,title
blue,thought,Choose two: Relax 2; or draw a card; or Intuit a Thought from your Memory with Duration 3 or less; or an opponent Remembers a Thought from their hand.,The best foie in the galaxy.,Teatime_At_Omegas_Fields,7,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Teatime at Omega's Fields"
red,neurotic,Connects— Forget all your Memories.,ROAR!!,Sleep-Paralysis_Demon,4,,Prompt: © G. Cilleruelo Calderón,Ω Omega ??/87,Sleep-Paralysis Demon
red,thought,A Neurosis Moves up to 5.,"He's behind who?",Cheeky_Bite,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Cheeky Bite
red,thought,A Neurosis gains +2 attack.,Sorcerers have two wolves within.,Become_The_Within,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Become the Within
red,thought,Discard 2 cards. Draw 2 cards.,"The more a thing is perfect, the more it feels pleasure and pain.",Profane_Poetry,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Profane Poetry
red,thought,Intuit a Thought from your Past with Duration 3 or less.,"Once he found the elixir of eternal life, really, he was left with nothing to save.",Eternal_Youth,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Eternal Youth
red,neurotic,"Neurotic. Connects— If the Sequence is empty, you may move a Thought from your Past to your hand..",Me likes me time to think.,Lone_Sinner,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Lone Sinner
red,thought,Discard a card. Connects— draw 2 cards.,"Take this needle. Now, sign.",Bureocratic_Hobgoblin,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Bureocratic Hobgoblin
red,thought,"A Neurosis can't be blocked.",Incoming!,Hostage_Shield,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Hostage Shield
red,thought,Stress 2.,Blood is at the heart of speech.,Blood_Blessing,2,"Your Neurose are not affected by opponents' Thoughts.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Blood Blessing
red,chainer,"Return a Neurotic Thought to its owner's hand.","Sometimes one must step back, in order to jump further into the fray.",Hover_The_Abyss,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Hover the Abyss
red,thought,A Traveler Stresses 2. Either you Relax 2 or a Neurosis gains +2 attack. ,Both me and my womb-eaten twin.,Souleating,4,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Souleating
blue,thought,A Traveler Remembers this Thought.,Séances at a dirty cheap price.,Ghastly_Séance,3,Forgotten— Stress 2. Discard a card.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Ghastly Séance
blue,neurotic,Neurotic. Connects— all Neurosis in your Cortex enter defense position.,Hang on in there!,Otherworldly_Aid,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Otherworldly Aid
blue,thought,Remove a Neurosis.,Go.,The_First_Commandment,12,,Prompt: © G. Cilleruelo Calderón,Ω Omega ??/87,The First Commandment
blue,thought,A Neurosis gains +1 attack.,"The immoral push, the immortal pull.",Tug_Of_War,2,Shield 2.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Tug of War
blue,neurosis,"Connects— You may Remember a Thought from your hand with Duration 3 or less. If you do, draw a card.",My task is to cherish you in my heart.,"Alma,_Axiom_Keeper",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Alma, Axiom Keeper"
blue,neurosis,"Connects— Move every Thought in the Sequence on top of their owner's Future in a random order. Remove Cadence.",The aether is void.,"Cadence,_Rewind",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Cadence, Rewind"
blue,neurosis,"Connects— Intuit a Thought from your Memory with Duration X or less. If you don't, remove Zigurath.",Dialectics against repetition.,Zigurath_Xii_(Broken),3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Zigurath XII (broken)
blue,neurosis,Blocks— give Yumei a -1 defense counter and Relax 1.,Begone!,"Yumei,_Never_Approach",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Yumei, Never Approach"
blue,neurosis,"X equals the amount of Memories you control with Duration 3 or less. Connects— If you have no Memories, remove Teresa.",Light emanates from the bottom up.,"Teresa,_Tainted_Id",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Teresa, Tainted Id"
red,neurosis,"Swapped or Moved— Keyron gets +2 attack. Connects— If Keyron is the only Neurosis in the Sequence, remove Keyron.","It's actually pronounced Kay-ron.",Keyron_Mercurial,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Keyron Mercurial
red,neurosis,"Attacks— Draw a card, discard a card.",There are four kinds of judgement.,"Tenpura,_Immanuel_Judge",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Tenpura, Immanuel Judge"
red,neurosis,Tit & Tat have the Connect abilities of all Thoughts Eaten by them. Attacks— Tit & Tat Eat a Thought from your hand.,Gather round!,"Tit_&_Tat,_Iconic_Duo",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Tit & Tat, Iconic Duo"
yellow,neurosis,"X equals the amount of Thoughts Eaten by Golos. Attacks— Golos Eats a Thought from the top of your Future. Connects— If X is 3 or more, remove Golos, then Intuit all Thoughts Eaten by Golos. ",,Golos,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Golos
yellow,neurosis,"The Emperor's Daughter starts the game with 4 Beauty counters. Attacks— remove a Beauty counter. Connects— Skip X where X is the amount of Beauty counters on The Emperor's Daughter.",,The_Emperors_Daughter,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"The Emperor's Daughter"
yellow,neurosis,Attacks— Sculpt 2. Connects— Each opponent Sculpts 1.,"Information is power, my Lord, the power to open or close the people's eyes.","Ora,_Double_Agent",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Ora, Double Agent"
yellow,neurosis,"Fluid 1-3. Qu can be used as a Chainer . If Qu closes the Sequence, remove Qu.",Raised by the winds. Called by the void.,Fall_Warp_Qu,3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Fall Warp Qu
yellow,neurosis,"Connects— Reveal the top card of your Future. If its Duration is 2 or less, a Traveler Stresses that Thought's Duration. If its Duration is 3 or more, remove Punpun.",An enigma or a purr.,"Punpun,_Adamantium_Charm",3,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Punpun, Adamantium Charm"
blue,neurotic,Discard your hand.,O hell! says I.,Two-Eyed_Cyclops,9,Neurotic.,Prompt: © G. Cilleruelo Calderón & D. Miralles Tagliabue,Ω Omega ??/87,Two-Eyed Cyclops
red,neurosis,"Blocked— Remove Sylvio and all Neurosis blocking him. Connects— a Traveler Stresses 1, twice.","One for Tit, the other for Tad.",Sylvio_Two_Daggers,9,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Sylvio Two Daggers
red,neurosis,"Attacks— Add a Guilt counter on Fiasco. Connects— Intuit X Thoughts from your Past with Duration 1 where X equals the amount of Guilt counters on Fiasco; if X is 3 or more, remove him.","I am so, so sorry...","Fiasco,_Guilty_Party",9,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,"Fiasco, Guilty Party"
yellow,thought,Move a Thought from anywhere to the Sequence.,It was the best of times.,Epoché_Megamesh!,5,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Epoché Megamesh!
red,chainer,Chainer. Double the amount of counters on a Neurosis.,"Nothing beats 12 o'clock.",Brunch,2,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Brunch
red,neurotic,"Neurotic. Connects— if Two-Eyed Cyclops and Three-Screws Automaton are in your Memory, you win the game. Otherwise, you lose the game.","100 pushups, 100 sit-ups, 100 squats!",One-Punch_Golem,9,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,One-Punch Golem
yellow,neurotic,Remove a Neurosis you control.,A delicacy of technique!,Three-Screws_Automaton,9,Neurotic.,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Three-Screws Automaton
red,trauma,Trauma. A Traveler Burns 3.,Sign here. And here.,Underworld_Bureocracy,1,,Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Underworld Bureocracy
red,thought,,,Night,8,"All Neurose have 'Connects— remove this Neurosis'.",Prompt: © D. Miralles Tagliabue,Ω Omega ??/87,Night
